title,url,date_guess
Agenda - Wexford County Council Meeting 11th October 2021,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-County-Council-Meeting-11th-October-2021.pdf,11th October 2021
Agenda - Wexford County Council Meeting 13th September 2021,https://www.wexfordcoco.ie/sites/default/files/content/County-Council-Agenda-13.09.21.pdf,13th September 2021
Agenda - Special Meeting of Wexford County Council 6th September 2021 2.30p.m.,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-Special-Meeting-of-Wexford-County-Council-6th-September-2021-2.30-pm.pdf,6th September 2021
Agenda - Special Meeting of Wexford County Council 6th September 2021 5.30p.m.,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-Special-Meeting-of-Wexford-County-Council-6th-September-2021-5.30-pm.pdf,6th September 2021
Agenda Wexford County Council Meeting 12th July 2021,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/County-Council-Meeting-12.07.21-Minutes.pdf,12th July 2021
Agenda - Annual Meeting of Wexford County Council 28th June 2021,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-Annual-Meeting-of-Wexford-County-Council-28th-June-2021.pdf,28th June 2021
Agenda County Council 14th June 2021,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-County-Council-Meeting-14th-June-2021.pdf,14th June 2021
Agenda - Special County Council Meeting 14th June 2021,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-Special-Meeting-of-Wexford-County-Council-14th-June-2021.pdf,14th June 2021
Agenda County Council Meeting 10th May 2021,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-County-Council-Meeting-10.05.2021.pdf,10th May 2021
Agenda - County Council Meeting 26th April 2021 (Development Plan),https://www.wexfordcoco.ie/sites/default/files/content/Agenda-Special-Meeting-of-Wexford-County-Council-Development-Plan-26th-April-2021_0.pdf,26th April 2021
Agenda - County Council Meeting 12th April 2021,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-County-Council-Meeting-12th-April-2021.pdf,12th April 2021
Agenda - County Council Meeting 8th March 2021,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-County-Council-Meeting-8th-March-2021.pdf,8th March 2021
Special meeting of Wexford County Council 22nd February 2021,https://www.wexfordcoco.ie/sites/default/files/content/Special-Meeting-of-Wexford-County-Council-Housing-22nd-February-2021.pdf,22nd February 2021
"Agenda - County Council Meeting 8th February, 2021",https://www.wexfordcoco.ie/sites/default/files/content/Agenda-County-Council-Meeting-8th-February-2021_0.pdf,2021
Agenda - County Council Meeting 11th January 2021,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-County-Council-Meeting-11th-January-2021.pdf,11th January 2021
County Council Meeting Minutes 13th December 2021,https://www.wexfordcoco.ie/sites/default/files/content/County-Council-Meeting-Minutes-13.12.21.pdf,13th December 2021
County Council Budget Meeting Minutes 29th November 2021,https://www.wexfordcoco.ie/sites/default/files/content/Environment/BiodiversityComm/County-Council-Budget-Meeting-29.11.21-Minutes.pdf,29th November 2021
County Council Meeting Minutes 8th November 2021 (4.30pm),https://www.wexfordcoco.ie/sites/default/files/content/Environment/BiodiversityComm/County-Council-Meeting-8.11.21-4.30PM-Minutes.pdf,8th November 2021
County Council Meeting Minutes 8th November 2021 (2.30pm),https://www.wexfordcoco.ie/sites/default/files/content/Environment/BiodiversityComm/County-Council-Meeting-8.11.21-2.30pm-Minutes.pdf,8th November 2021
County Council Meeting Minutes 11th October 2021,https://www.wexfordcoco.ie/sites/default/files/content/County-Council-Meeting-11.10.21-Minutes.pdf,11th October 2021
County Council Meeting Minutes 13th September 2021,https://www.wexfordcoco.ie/sites/default/files/content/County-Council-Meeting-13.9.21-Minutes.pdf,13th September 2021
Special (Planning) Meeting Minutes 6th September 2021 (2.30pm),https://www.wexfordcoco.ie/sites/default/files/content/Special-Planning-Meeting-06.09.21-Minutes-2.30pm_2.pdf,6th September 2021
Special (Planning) Meeting Minutes 6th September (5.15pm),https://www.wexfordcoco.ie/sites/default/files/content/Special-Planning-Meeting-06.09.21-Minutes-5.15pm_0.pdf,
County Council Meeting Minutes 12th July 2021,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/County-Council-Meeting-12.07.21-Minutes.pdf,12th July 2021
Annual County Council Meeting Minutes 28th June 2021,https://www.wexfordcoco.ie/sites/default/files/content/Annual-Meeting-Minutes-28th-June-2021.pdf,28th June 2021
Special County Council Meeting Minutes 14th June 2021,https://www.wexfordcoco.ie/sites/default/files/content/Special-Planning-Meeting-14.06.21-Minutes.pdf,14th June 2021
County Council Meeting Minutes 14th June 2021,https://www.wexfordcoco.ie/sites/default/files/content/County-Council-Meeting-14.06.21-Minutes.pdf,14th June 2021
County Council Meeting Minutes 10th May 2021,https://www.wexfordcoco.ie/sites/default/files/content/County-Council-Meeting-10.05.2021-Minutes.pdf,10th May 2021
County Council Meeting Minutes (Special Planning) 26th April 2021,https://www.wexfordcoco.ie/sites/default/files/content/County-Council-Special-Planning-Meeting-26.04.21-Minutes.pdf,26th April 2021
County Council Meeting 12th April 2021 Minutes,https://www.wexfordcoco.ie/sites/default/files/content/County-Council-Meeting-12.04.21-Minutes.pdf,12th April 2021
County Council Meeting Minutes 8th March 2021,https://www.wexfordcoco.ie/sites/default/files/content/County-Council-Meeting-08.03.21-Minutes_0.pdf,8th March 2021
Special County Council Meeting 22nd February 2021 Minutes,https://www.wexfordcoco.ie/sites/default/files/content/Special-County-Council-Meeting-22.02.21-Minutes.pdf,22nd February 2021
County Council Meeting 8th February 2021 Minutes,https://www.wexfordcoco.ie/sites/default/files/content/County-Council-Meeting-08.02.21-Minutes.pdf,8th February 2021
County Council Meeting 11.01.21 Minutes,https://www.wexfordcoco.ie/sites/default/files/content/County-Council-Meeting-11.01.21-Minutes.pdf,
Agenda County Council Meeting 14th December 2020,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-County-Council-Meeting-14th-December-2020.doc.pdf,14th December 2020
Council Budget Agenda 30th November 2020,https://www.wexfordcoco.ie/sites/default/files/content/Council-Budget-Agenda-30th-November-2020.pdf,30th November 2020
"Agenda County Council Meeting 9th November, 2020",https://www.wexfordcoco.ie/sites/default/files/content/Agenda-County-Council-Meeting-9th-November-2020.pdf,2020
"Agenda Council Meeting 14th September, 2020",https://www.wexfordcoco.ie/sites/default/files/content/Agenda-County-Council-Meeting-14.09.20.pdf,2020
"Agenda Special Council Meeting 14th September, 2020",https://www.wexfordcoco.ie/sites/default/files/content/Agenda-Special-Co-Co-Meeting-14.09.20.pdf,2020
"Agenda Special County Council Meeting 5th August, 2020",https://www.wexfordcoco.ie/sites/default/files/content/Agenda-Special-County-Council-Meeting-5th-August-2020.pdf,2020
Special County Council Agenda 27th July 2020,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-Special-County-Council-Meeting-27th-July-2020.pdf,27th July 2020
County Council Agenda 27th July 2020,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-County-Council-Meeting-27th-July-2020.pdf,27th July 2020
Agenda Annual Meeting of Wexford County Council 29th June 2020,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-Annual-Meeting-of-Wexford-County-Council-29th-June-2020.pdf,29th June 2020
County Council Agenda 29th June 2020,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Agenda-County-Council-Meeting-29th-June-2020.pdf,29th June 2020
County Council Agenda 9th March 2020,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/County-Council-Agenda-9th-March-2020.pdf,9th March 2020
Special County Council Meeting Agenda - 20th January 2020,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/Special-County-Council-Meeting-20.01.20.pdf,20th January 2020
Special County Council Meeting Agenda - 13th January 2020,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/Special-County-Council-Meeting-13.01.2020.pdf,13th January 2020
Council Agenda - 13th January 2020,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/Agenda-County-Council-Meeting-13.01.2020.pdf,13th January 2020
County Council Meeting 14.12.20 Minutes,https://www.wexfordcoco.ie/sites/default/files/content/County-Council-Meeting-14.12.20-Minutes.pdf,
County Council Budget Meeting Minutes 30th November 2020,https://www.wexfordcoco.ie/sites/default/files/content/County-Council-Budget-Meeting-Minutes-30.11.20.pdf,30th November 2020
County Council Meeting Minutes 9th November 2020,https://www.wexfordcoco.ie/sites/default/files/content/County-Council-Meeting-Minutes-09.11.2020.pdf,9th November 2020
Final County Council Special Meeting 14.09.20 Minutes,https://www.wexfordcoco.ie/sites/default/files/content/Final-County-Council-Special-Meeting-14.09.20-Minutes.pdf,
Final County Council Meeting Minutes 14 Sept 2020,https://www.wexfordcoco.ie/sites/default/files/content/Final-County-Council-Meeting-Minutes-14-Sept-2020.pdf,2020
County Council Meeting 27.07.2020 Minutes,https://www.wexfordcoco.ie/sites/default/files/content/County-Council-Meeting-27.07.20-Minutes.pdf,2020
County Council Special Meeting 27.07.2020 Minutes,https://www.wexfordcoco.ie/sites/default/files/content/County-Council-Special-Meeting-27.07.20-Minutes.pdf,2020
County Council Special Meeting 05.08.2020 Minutes,https://www.wexfordcoco.ie/sites/default/files/content/County-Council-Special-Meeting-05.08.20-Minutes.pdf,2020
County Council Minutes 29th June 2020,https://www.wexfordcoco.ie/sites/default/files/content/County-Council-Meeting-Minutes-29.06.2020.pdf,29th June 2020
Minutes of the Annual Meeting of Wexford County Council 29th June 2020,https://www.wexfordcoco.ie/sites/default/files/content/Minutes-Annual-Meeting-of-Wexford-County-Council-29th-June-2020.pdf,29th June 2020
County Council Minutes 9th March 2020,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/County-Council-Meeting-Minutes-09.03.2020.pdf,9th March 2020
Final County Council Minutes 14th February 2020,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Final-County-Council-Meeting-Minutes-14.02.2020.pdf,14th February 2020
Special County Council Minutes 20th January 2020,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Final-Special-County-Council-Meeting-Minutes-20.01.2020.pdf,20th January 2020
Special County Council Minutes 13th January 2020,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Final-Special-County-Council-Meeting-Minutes-13.01.2020.pdf,13th January 2020
County Council Minutes 13th January 2020,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Final-County-Council-Meeting-Minutes-13.01.2020.pdf,13th January 2020
Council Agenda - 9th December 2019,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/Agenda-County-Council-Meeting-09.12.19.pdf,9th December 2019
Council Budget Agenda - 25th November 2019,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/Budget-Agenda-25.11.19.pdf,25th November 2019
Council Agenda - 11th November 2019,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/Agenda-County-Council-Meeting-11.11.2019.pdf,11th November 2019
Council Agenda - 14th October 2019,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/Co-Co-Agenda-14.10.19.pdf,14th October 2019
Council Agenda - 9th September 2019,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/Special-County-Council-Meeting-09.09.19_0.pdf,9th September 2019
Special County Council Agenda - 9th September 2019,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/Special-County-Council-Meeting-09.09.19.pdf,9th September 2019
Council Agenda - 8th July 2019,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/Co-Co-Agenda-08.07.19.pdf,8th July 2019
Council Agenda - 14th June 2019,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/Annual-Meeting-14.06.19.pdf,14th June 2019
Council Agenda - 13th May 2019,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/Agenda-Co-Co-Meeting-13.05.19.pdf,13th May 2019
Council Agenda - 8th April 2019,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/Co-Co-Agenda-08.04.19_0.pdf,8th April 2019
Council Agenda - 11th March 2019,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Amended-Co-Co-Meeting-agenda-11.03.19.pdf,11th March 2019
Special County Council Agenda - 11th March 2019,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Special-County-Council-Meeting-11.03.19.doc.pdf,11th March 2019
Council Agenda - 11th February 2019,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Co-Co-Meeting-Agenda-11.02.19.pdf,11th February 2019
Council Agenda - 14th January 2019,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Co-Co-Meeting-Agenda-09.01.19_0.pdf,14th January 2019
Final County Council Meeting 9th December 2019,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Final-County-Council-Meeting-09-12-19.pdf,9th December 2019
Final Statutory Budget Meeting 25th November 2019,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Final-Statutory-Budget-Meeting-25.11.19.pdf,25th November 2019
County Council Meeting 11th November 2019,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/County-Council-Meeting-11.11.19_0.pdf,11th November 2019
Final County Council Meeting 14th October 2019,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Final-County-Council-Meeting-14-10-19.pdf,14th October 2019
Final Special County Council Meeting 9th September 2019,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Final-Special-County-Council-Meeting-09-09-19.pdf,9th September 2019
County Council Meeting 9th September 2019 as amended,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/County-Council-Meeting-09-09-19-as-amended.pdf,9th September 2019
Final County Council Meeting 9th September 2019,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Final-County-Council-Meeting-09-09-19-v.1-2.pdf,9th September 2019
Final County Council Meeting 8th July 2019,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/Final-County-Council-Meeting-08-07-19.pdf,8th July 2019
Special County Council Meeting Minutes 14 June 2019,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Final-Special-County-Council-Meeting-14-06-19.pdf,2019
County Council Annual Meeting Minutes 14 June 2019,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Final-First-Annual-Meeting-14-06-19.pdf,2019
County Council Minutes 13 May 2019,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Final-County-Council-Meeting-13-05-19.pdf,2019
County Council minutes 8 April 2019,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/County-Council-Meeting-8-April-19-Minutes.pdf,2019
Special County Council minutes 11 March 2019,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Final-Special-County-Council-Meeting-11.03.19.pdf,2019
County Council minutes 11 March 2019,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Final-County-Council-Meeting-11.03.19.pdf,2019
County Council minutes 11 February 2019,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/County-Council-Meeting-11-02-19.pdf,2019
County Council minutes 14 January 2019,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Final-County-Council-Meeting-14-01-19.pdf,2019
Special County Council minutes 2 January 2019,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Special-County-Council-Meeting-02.01.19.pdf,2019
Council minutes 10 December 2018,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/County-Council-Meeting-10.12.18.pdf,2018
Statutory Budget Meeting Minutes 26 November 2018,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Statutory-Budget-Meeting-26.11.18.pdf,2018
Council minutes 12 November 2018,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Final-County-Council-Meeting-12-11-18.pdf,2018
Council minutes 8 October 2018,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/County-Council-Meeting-08.10.18.pdf,2018
Council minutes 10 September 2018,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/County-Council-Meeting-10-Sept-2018-Minutes.pdf,2018
Special County Council minutes 5 September 2018,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Special-County-Council-Meeting-05-09-18-2.pdf,2018
Special County Council minutes 3 September 2018,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Special-County-Council-Meeting-03.09.18.pdf,2018
Council minutes 9 July 2018,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Final-County-Council-Meeting-09.07.18.pdf,2018
Council minutes 11 June 2018,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Final-County-Council-Meeting-11-06-18_0.pdf,2018
Council minutes 14 May 2018,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Final-County-Council-Meeting-14-05-18.pdf,2018
Council minutes 9 April 2018,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Final-County-Council-Meeting-09-04-18.pdf,2018
Council minutes 12 March 2018,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Council-Meeting-12Mar18.pdf,2018
Council minutes 12 February 2018,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Council-Meeting-12Feb-2018.pdf,2018
Council minutes 8 January 2018,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Council-Meeting-08.01.18.pdf,2018
Council minutes 16 January 2017,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/County%20Council%20Meeting%2016.01.17.pdf,2017
Council minutes 13 February 2017,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/County%20Council%20Meeting%2013.02.17.pdf,2017
Council minutes 13 March 2017,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/County%20Council%20Meeting%2013.03.17.pdf,2017
Council minutes 10 April 2017,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/County%20Council%20Meeting%2010%20April%202017.pdf,2017
Council minutes 8 May 2017,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Final%20County%20Council%20Meeting%2008%20May%2017.pdf,2017
Council minutes 12 June 2017,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/County%20Council%20Meeting%2012.06.17.pdf,2017
Special Council Meeting 19 June 2017,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Special%20County%20Council%20Meeting%2019.06.17.pdf,2017
Annual Meeting 19 June 2017,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Annual%20Meeting%2019.06.17.pdf,2017
Special Council Meeting 3 July 2017,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Special%20County%20Council%20Meeting%2003.07.17.pdf,2017
Council minutes 10 July 2017,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/County%20Council%20Meeting%2010.07.17.pdf,2017
Council minutes 11 September 2017,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/County%20Council%20Meeting%2011%20September%202017.pdf,2017
Council minutes 28 September 17 LPT Variation,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/County%20Council%20Meeting%2028%2009%2017%20LPT%20Variation.pdf,
Council minutes 9 October 2017,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/CountyCouncilMeeting091017Final.pdf,2017
Special Housing Meeting 10 November 2017,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/SpecialHousingMeeting101117.pdf,2017
Council minutes 13 November 2017,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/CountyCouncilMeetingMinute131117.pdf,2017
Statutory Budget Meeting 27 November 2017,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/StatutoryBudgetMeeting271117.pdf,2017
Council minutes 11 December 2017,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Council-Meeting-11.12.17.pdf,2017
Council Minutes 2016,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Council%20Minutes%202016.pdf,2016
Council Minutes 2015,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/CouncilMinutes2015.pdf,2015
Council Minutes 2014,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/CouncilMinutes2014.pdf,2014
Council Minutes 2013,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/CouncilMinutes2013.pdf,2013
Council Minutes 2012,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/CouncilMinutes2012.pdf,2012
Council Minutes 2011,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/CouncilMinutes2011.pdf,2011
Council Minutes 2010,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/CouncilMinutes2010.pdf,2010
Council Minutes 2009,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/CouncilMinutes2009.pdf,2009
Council Minutes 2008,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/CouncilMinutes2008.pdf,2008
